	origin	Formula	Neutral_mass	mz	md	inclusion
HMDB02833	Drugorsteroidmetabolite	C19H28O5S	368.1657447	367.1584681	0.1584681	n
HMDB02759	Drugorsteroidmetabolite	C19H30O5S	370.1813948	369.1741182	0.1741182	n
HMDB06278	Drugorsteroidmetabolite	C19H30O5S	370.1813948	369.1741182	0.1741182	n
HMDB00774	Drugorsteroidmetabolite	C21H32O5S	396.1970448	395.1897682	0.1897682	n
HMDB00416	Drugorsteroidmetabolite	C21H32O6S	412.1919594	411.1846828	0.1846828	n
HMDB41620	Drugorsteroidmetabolite	C18H24O8S2	432.0912591	431.0839825	0.0839825	n
HMDB10317	Drugorsteroidmetabolite	C24H32O8	448.209718	447.2024414	0.2024414	n
HMDB10322	Drugorsteroidmetabolite	C24H32O8	448.209718	447.2024414	0.2024414	n
HMDB10349	Drugorsteroidmetabolite	C24H32O8	448.209718	447.2024414	0.2024414	n
HMDB10333	Drugorsteroidmetabolite	C24H32O9	464.2046326	463.197356	0.197356	n
HMDB10335	Drugorsteroidmetabolite	C24H32O9	464.2046326	463.197356	0.197356	n
HMDB10354	Drugorsteroidmetabolite	C24H32O9	464.2046326	463.197356	0.197356	n
HMDB10348	Drugorsteroidmetabolite	C25H36O8	464.2410181	463.2337415	0.2337415	n
HMDB10365	Drugorsteroidmetabolite	C25H38O8	466.2566682	465.2493916	0.2493916	n
HMDB10321	Drugorsteroidmetabolite	C25H40O8	468.2723183	467.2650417	0.2650417	n
HMDB10339	Drugorsteroidmetabolite	C25H40O8	468.2723183	467.2650417	0.2650417	n
HMDB10359	Drugorsteroidmetabolite	C25H40O8	468.2723183	467.2650417	0.2650417	n
HMDB10315	Drugorsteroidmetabolite	C25H34O9	478.2202827	477.2130061	0.2130061	n
HMDB10338	Drugorsteroidmetabolite	C25H36O9	480.2359328	479.2286562	0.2286562	n
HMDB10351	Drugorsteroidmetabolite	C25H38O9	482.2515828	481.2443062	0.2443062	n
HMDB10352	Drugorsteroidmetabolite	C27H44O8	496.3036184	495.2963418	0.2963418	n
HMDB10364	Drugorsteroidmetabolite	C27H38O9	506.2515828	505.2443062	0.2443062	n
HMDB10358	Drugorsteroidmetabolite	C24H32O11S	528.1665326	527.159256	0.159256	n
HMDB10345	Drugorsteroidmetabolite	C27H36O11	536.225762	535.2184854	0.2184854	n
HMDB10357	Drugorsteroidmetabolite	C27H40O11	540.2570621	539.2497855	0.2497855	n
HMDB10356	Drugorsteroidmetabolite	C24H32O12S	544.1614472	543.1541706	0.1541706	n
HMDB06803	Endogenous	C3H2O	54.01056469	53.00328809	0.00328809	n
HMDB01659	Endogenous	C3H6O	58.04186481	57.03458821	0.03458821	n
HMDB03366	Endogenous	C3H6O	58.04186481	57.03458821	0.03458821	n
HMDB31558	Endogenous	C3H6O	58.04186481	57.03458821	0.03458821	n
HMDB31652	Endogenous	C3H6O	58.04186481	57.03458821	0.03458821	n
HMDB01122	Endogenous	C2H5NO	59.03711379	58.02983719	0.02983719	n
HMDB03656	Endogenous	C2H5NO	59.03711379	58.02983719	0.02983719	n
HMDB31645	Endogenous	C2H5NO	59.03711379	58.02983719	0.02983719	n
HMDB01842	Endogenous	CH5N3	59.04834718	58.04107058	0.04107058	n
HMDB03344	Endogenous	C2H4O2	60.02112937	59.01385277	0.01385277	n
HMDB00294	Endogenous	CH4N2O	60.03236276	59.02508616	0.02508616	n
HMDB00820	Endogenous	C3H8O	60.05751488	59.05023828	0.05023828	n
HMDB00863	Endogenous	C3H8O	60.05751488	59.05023828	0.05023828	n
HMDB03551	Endogenous	CH3NO2	61.01637835	60.00910175	0.00910175	n
HMDB00149	Endogenous	C2H7NO	61.05276385	60.04548725	0.04548725	n
HMDB31430	Endogenous	C2H6O2	62.03677944	61.02950284	0.02950284	n
HMDB32262	Endogenous	C2H6O2	62.03677944	61.02950284	0.02950284	n
HMDB31323	Endogenous	C4H5N	67.04219917	66.03492257	0.03492257	n
HMDB06853	Endogenous	C4H4O	68.02621475	67.01893815	0.01893815	n
HMDB13785	Endogenous	C4H4O	68.02621475	67.01893815	0.01893815	n
HMDB12497	Endogenous	C4H7N	69.05784923	68.05057263	0.05057263	n
HMDB04101	Endogenous	C3H6N2	70.0530982	69.0458216	0.0458216	n
HMDB04296	Endogenous	C3H5NO	71.03711379	70.02983719	0.02983719	n
HMDB31641	Endogenous	C4H9N	71.07349929	70.06622269	0.06622269	n
HMDB01167	Endogenous	C3H4O2	72.02112937	71.01385277	0.01385277	n
HMDB06112	Endogenous	C3H4O2	72.02112937	71.01385277	0.01385277	n
HMDB31647	Endogenous	C3H4O2	72.02112937	71.01385277	0.01385277	n
HMDB00246	Endogenous	C4H8O	72.05751488	71.05023828	0.05023828	n
HMDB00474	Endogenous	C4H8O	72.05751488	71.05023828	0.05023828	n
HMDB03543	Endogenous	C4H8O	72.05751488	71.05023828	0.05023828	n
HMDB31243	Endogenous	C4H8O	72.05751488	71.05023828	0.05023828	n
HMDB31324	Endogenous	C4H8O	72.05751488	71.05023828	0.05023828	n
HMDB29603	Endogenous	C5H12	72.09390038	71.08662378	0.08662378	n
HMDB01106	Endogenous	C3H7NO	73.05276385	72.04548725	0.04548725	n
HMDB02134	Endogenous	C3H7NO	73.05276385	72.04548725	0.04548725	n
HMDB01522	Endogenous	C2H7N3	73.06399724	72.05672064	0.05672064	n
HMDB31321	Endogenous	C4H11N	73.08914936	72.08187276	0.08187276	n
HMDB32179	Endogenous	C4H11N	73.08914936	72.08187276	0.08187276	n
HMDB41878	Endogenous	C4H11N	73.08914936	72.08187276	0.08187276	n
HMDB31635	Endogenous	C3H6S	74.01902088	73.01174428	0.01174428	n
